Cargo_ID,Cargo_Type,Source,Destination,Tons,Revenue
1,Limestone,Chennai,Mumbai,1543,135397
2,Cement,Lucknow,Kolkata,746,89281
3,Cement,Delhi,Lucknow,2366,183163
4,Steel,Jaipur,Kolkata,1997,353632
5,Limestone,Kolkata,Jaipur,4145,388844
6,Coal,Surat,Jharkhand,1492,120072
7,Cement,Ahmedabad,Jharkhand,2656,179219
8,Fertilizer,Bangalore,Jaipur,3006,323349
9,Container,Bangalore,Kolkata,3479,538059
10,Steel,Surat,Chennai,2591,354295
11,Fertilizer,Jaipur,Lucknow,4367,505590
12,Fertilizer,Chennai,Kolkata,1801,216082
13,Coal,Delhi,Jaipur,2407,220821
14,Coal,Mumbai,Jaipur,2831,207677
15,Container,Ahmedabad,Chennai,2849,420116
16,Fertilizer,Lucknow,Mumbai,2376,283385
17,Cement,Jaipur,Surat,4182,326474
18,Coal,Chennai,Delhi,886,66025
19,Cement,Jaipur,Delhi,2858,215955
20,Steel,Bangalore,Delhi,3661,430530
21,Fertilizer,Kolkata,Surat,712,25934
22,Container,Kolkata,Chennai,3239,517707
23,Steel,Surat,Lucknow,1939,205432
24,Steel,Jaipur,Surat,3675,516621
25,Container,Bangalore,Kolkata,1799,270208
26,Fertilizer,Lucknow,Jaipur,4144,445958
27,Steel,Kolkata,Bangalore,4316,600591
28,Coal,Lucknow,Delhi,933,113213
29,Limestone,Mumbai,Kolkata,1618,112371
30,Steel,Jharkhand,Surat,4211,624870
31,Container,Ahmedabad,Chennai,1134,158556
32,Limestone,Ahmedabad,Surat,3672,332438
33,Fertilizer,Chennai,Jaipur,1057,114200
34,Container,Jharkhand,Surat,3576,533302
35,Coal,Surat,Mumbai,648,22065
36,Steel,Ahmedabad,Mumbai,2244,321045
37,Limestone,Lucknow,Surat,829,99145
38,Limestone,Surat,Kolkata,1089,126339
39,Fertilizer,Chennai,Mumbai,1059,107599
40,Fertilizer,Jharkhand,Bangalore,3571,357077
41,Container,Surat,Mumbai,2927,469710
