vibration_rms,temperature,sound_level,maintenance_days,wheel_health,bearing_health,failure
0.652,76.1,76.0,143,42,41,1
0.316,42.3,62.2,34,71,81,0
0.273,41.8,51.9,25,80,84,0
0.319,45.9,40.1,30,85,79,0
0.85,99.2,85.8,249,22,13,1
0.229,46.3,58.7,84,74,79,0
0.497,74.8,70.1,143,52,48,1
0.201,45.5,65.6,43,73,83,0
0.552,73.5,77.1,100,48,49,1
0.281,57.8,42.3,82,83,70,0
0.229,56.0,61.4,63,73,74,0
0.573,76.5,72.8,157,47,43,1
0.516,69.9,80.8,104,46,52,1
0.354,55.3,47.8,86,76,69,0
0.359,52.9,62.1,28,69,73,0
0.582,67.0,78.2,197,40,46,1
0.208,58.8,61.1,66,74,73,0
0.385,52.0,69.6,45,62,72,0
0.278,48.8,42.4,36,85,78,0
0.336,36.8,42.0,2,85,85,0
0.913,84.3,88.0,357,12,14,1
0.384,55.4,56.9,82,69,68,0
0.291,46.2,59.3,0,75,81,0
0.694,64.9,71.6,99,46,48,1
0.659,72.0,75.2,156,42,42,1
0.542,69.8,75.4,160,46,48,1
0.231,43.0,54.2,33,79,84,0
0.554,60.3,76.8,157,45,54,1
0.481,69.2,83.2,171,43,50,1
0.394,58.8,63.6,47,66,67,0
0.362,39.4,41.6,63,81,79,0
0.361,42.6,55.7,16,74,80,0
0.369,49.3,59.9,79,68,72,0
0.323,52.9,43.3,82,80,72,0
0.231,47.2,52.4,1,82,83,0
0.338,52.1,61.9,89,67,71,0
0.729,84.8,92.4,288,20,24,1
0.414,66.0,82.1,162,46,55,1
0.232,36.4,44.2,2,88,90,0
0.721,97.2,87.0,322,22,15,1
0.357,50.4,64.8,1,69,76,0
0.614,76.6,71.0,148,47,42,1
0.321,55.6,43.8,89,80,70,0
0.339,38.9,66.4,39,67,82,0
0.362,50.1,50.1,76,75,72,0
0.236,49.7,52.1,24,81,80,0
0.274,57.8,44.1,80,82,71,0
0.537,68.8,82.7,115,44,51,1
0.338,45.1,52.1,54,75,77,0
0.285,49.9,60.3,37,73,77,0
0.671,75.1,71.8,158,43,40,1
0.255,58.6,69.3,85,66,71,0
0.596,67.4,71.4,184,45,46,1
0.274,39.2,58.1,3,77,86,0
0.396,44.9,63.9,67,65,74,0
0.227,44.7,42.6,14,88,84,0
0.615,72.8,73.2,121,47,46,1
0.38,56.7,55.8,69,70,68,0
0.565,74.4,72.9,158,47,44,1
0.711,90.2,86.2,212,29,26,1
0.241,40.1,43.1,37,86,85,0
0.354,54.7,46.3,41,79,71,0
0.741,87.6,96.4,231,20,25,1
0.552,78.7,74.3,152,47,43,1
0.532,61.0,78.6,104,47,57,1
0.313,52.3,57.2,81,72,72,0
0.682,72.8,82.0,128,38,42,1
0.223,39.6,64.5,83,70,84,0
0.603,75.4,81.8,111,42,45,1
0.254,36.5,41.6,60,85,86,0
0.599,68.6,75.6,198,41,44,1
0.28,35.9,45.2,47,83,86,0
0.63,76.4,79.0,127,42,42,1
0.389,47.0,66.2,63,64,74,0
0.512,61.1,74.8,196,46,53,1
0.295,50.7,56.9,71,73,75,0
0.206,35.1,68.7,82,68,87,0
0.384,52.6,63.6,82,64,69,0
0.676,73.3,74.6,165,41,40,1
0.95,91.7,91.8,282,12,12,1
0.363,49.4,63.1,2,70,77,0
0.272,58.3,47.7,60,81,72,0
0.951,96.7,90.5,324,11,6,1
0.575,76.9,82.9,158,40,43,1
0.7,70.8,82.0,111,38,44,1
0.552,63.2,74.1,99,50,55,0
0.655,62.2,82.2,151,37,49,1
0.267,56.4,46.6,72,81,72,0
0.343,45.9,67.7,52,65,77,0
0.375,59.4,64.8,64,65,67,0
0.696,63.8,77.3,166,38,45,1
0.938,81.4,86.2,309,15,17,1
0.252,42.5,45.2,24,85,84,0
0.224,53.0,68.7,66,68,76,0
0.948,87.4,90.4,311,11,13,1
0.478,63.1,72.5,151,51,55,0
0.254,37.2,66.7,39,70,86,0
0.325,41.7,47.5,18,81,82,0
0.417,68.5,75.0,181,50,53,0
0.39,46.6,43.7,28,80,76,0
0.308,55.7,62.3,32,71,73,0
0.277,39.2,49.2,19,82,85,0
0.996,87.2,88.6,255,14,14,1
0.298,35.9,43.9,77,81,83,0
0.89,82.0,89.0,329,14,17,1
0.334,47.9,57.0,25,74,77,0
0.69,65.8,74.7,166,40,44,1
0.855,81.6,97.6,209,16,26,1
0.231,54.3,44.0,29,87,77,0
0.321,42.6,69.4,23,66,81,0
0.645,73.6,70.2,186,44,40,1
0.224,51.4,56.0,72,76,77,0
0.287,47.7,69.6,77,65,76,0
0.486,73.0,79.0,187,44,47,1
0.246,59.1,49.7,48,81,73,0
0.513,69.7,76.8,175,45,49,1
0.413,64.0,73.8,93,56,61,0
0.713,90.6,97.5,329,15,19,1
0.297,46.2,50.2,69,78,77,0
0.351,42.4,61.2,85,67,77,0
0.314,53.9,68.4,12,68,75,0
0.636,70.4,75.0,114,45,47,1
0.758,86.0,96.2,209,21,27,1
0.227,59.0,68.0,46,70,74,0
0.346,44.4,62.8,29,69,79,0
0.361,39.7,45.3,4,82,82,0
0.325,48.1,67.4,88,64,74,0
0.678,74.5,75.2,133,42,41,1
0.286,37.9,45.7,0,85,87,0
0.326,53.5,41.7,12,85,75,0
0.283,42.8,64.8,78,68,80,0
0.474,64.2,84.6,97,46,58,1
0.267,56.8,53.8,15,79,75,0
0.484,69.1,79.0,198,44,49,1
0.276,47.1,66.5,27,70,80,0
0.42,67.9,70.2,157,54,54,0
0.474,80.0,82.6,186,42,43,1
0.937,87.3,88.4,335,12,12,1
0.544,61.0,78.1,98,47,57,1
0.281,54.2,64.4,26,71,76,0
0.311,41.9,40.6,45,85,81,0
0.459,78.9,83.6,118,46,48,1
0.342,46.3,48.1,35,79,77,0
0.205,40.8,53.6,73,79,84,0
0.237,44.5,41.3,32,88,83,0
0.271,36.4,60.2,76,72,84,0
0.485,71.1,77.0,142,48,51,1
0.282,59.3,55.9,65,75,70,0
0.321,38.4,44.5,36,82,83,0
0.448,70.9,72.8,96,55,55,0
0.682,74.0,77.9,153,39,40,1
0.258,46.2,42.2,19,87,82,0
0.672,77.5,84.2,94,38,42,1
0.225,49.6,52.2,21,82,81,0
0.429,65.0,76.0,178,49,55,1
0.651,76.7,83.0,149,37,40,1
0.471,67.1,82.1,95,48,56,1
0.403,70.0,82.8,111,49,56,1
0.378,57.3,40.2,78,80,67,0
0.63,67.2,77.3,145,42,47,1
0.206,54.5,64.5,82,71,75,0
0.247,49.0,45.0,67,83,78,0
0.359,40.0,48.7,88,75,78,0
0.24,47.8,66.6,31,71,81,0
0.203,36.4,54.2,1,82,91,0
0.266,45.0,54.3,42,78,81,0
0.398,41.4,42.0,49,80,77,0
0.208,44.3,64.4,63,72,83,0
0.446,78.6,82.7,130,47,48,1
0.211,50.7,54.2,80,78,78,0
0.423,75.8,77.6,119,52,51,0
0.465,64.6,77.3,138,49,56,1
0.679,67.9,79.5,189,36,42,1
0.533,79.2,75.5,95,50,46,1
0.379,41.6,43.8,24,81,79,0
0.279,40.5,42.4,36,85,83,0
0.496,67.5,76.7,100,50,55,0
0.614,70.0,83.4,185,36,44,1
0.215,40.3,67.3,16,72,87,0
